year,species_id,sex,hindfoot_length,weight,genus,species,taxa
1978,NL,M,NA,218,Neotoma,albigula,Rodent
1978,NL,M,32,204,Neotoma,albigula,Rodent
1978,NL,M,NA,200,Neotoma,albigula,Rodent
1978,NL,M,34,199,Neotoma,albigula,Rodent
1978,NL,M,32,197,Neotoma,albigula,Rodent
1978,NL,M,NA,218,Neotoma,albigula,Rodent
1979,NL,M,33,166,Neotoma,albigula,Rodent
1979,NL,M,32,184,Neotoma,albigula,Rodent
1979,NL,M,32,206,Neotoma,albigula,Rodent
1979,NL,F,33,274,Neotoma,albigula,Rodent
1979,NL,F,30,186,Neotoma,albigula,Rodent
1980,NL,F,33,184,Neotoma,albigula,Rodent
1980,NL,F,31,87,Neotoma,albigula,Rodent
1980,NL,F,33,174,Neotoma,albigula,Rodent
1981,NL,F,30,130,Neotoma,albigula,Rodent
1981,NL,M,34,208,Neotoma,albigula,Rodent
1981,NL,M,34,192,Neotoma,albigula,Rodent
1982,NL,M,NA,206,Neotoma,albigula,Rodent
1982,NL,F,32,165,Neotoma,albigula,Rodent
1982,NL,M,34,202,Neotoma,albigula,Rodent
1982,NL,M,33,211,Neotoma,albigula,Rodent
1982,NL,M,31,120,Neotoma,albigula,Rodent
1982,NL,F,32,40,Neotoma,albigula,Rodent
1982,NL,M,33,222,Neotoma,albigula,Rodent
1982,NL,F,30,100,Neotoma,albigula,Rodent
1982,NL,F,33,120,Neotoma,albigula,Rodent
1982,NL,M,NA,219,Neotoma,albigula,Rodent
1982,NL,F,31,112,Neotoma,albigula,Rodent
1982,NL,F,33,152,Neotoma,albigula,Rodent
1983,NL,F,30,126,Neotoma,albigula,Rodent
1983,NL,F,32,147,Neotoma,albigula,Rodent
1983,NL,F,32,138,Neotoma,albigula,Rodent
1983,NL,F,32,161,Neotoma,albigula,Rodent
1983,NL,M,33,148,Neotoma,albigula,Rodent
1983,NL,F,32,151,Neotoma,albigula,Rodent
1983,NL,F,31,175,Neotoma,albigula,Rodent
1983,NL,F,32,158,Neotoma,albigula,Rodent
1983,NL,F,32,164,Neotoma,albigula,Rodent
1983,NL,F,32,150,Neotoma,albigula,Rodent
1984,NL,F,32,157,Neotoma,albigula,Rodent
1984,NL,M,32,125,Neotoma,albigula,Rodent
1984,NL,M,33,125,Neotoma,albigula,Rodent
1984,NL,M,35,130,Neotoma,albigula,Rodent
1984,NL,F,31,151,Neotoma,albigula,Rodent
1984,NL,F,32,173,Neotoma,albigula,Rodent
1984,NL,M,30,126,Neotoma,albigula,Rodent
1985,NL,F,30,91,Neotoma,albigula,Rodent
1985,NL,M,32,186,Neotoma,albigula,Rodent
1985,NL,F,32,174,Neotoma,albigula,Rodent
1985,NL,F,31,106,Neotoma,albigula,Rodent
1985,NL,F,31,136,Neotoma,albigula,Rodent
1985,NL,F,33,148,Neotoma,albigula,Rodent
1985,NL,F,32,160,Neotoma,albigula,Rodent
1986,NL,M,34,240,Neotoma,albigula,Rodent
1986,NL,F,31,163,Neotoma,albigula,Rodent
1986,NL,F,31,82,Neotoma,albigula,Rodent
1986,NL,F,32,110,Neotoma,albigula,Rodent
1986,NL,M,34,227,Neotoma,albigula,Rodent
1986,NL,F,31,184,Neotoma,albigula,Rodent
1986,NL,M,34,202,Neotoma,albigula,Rodent
1986,NL,F,32,135,Neotoma,albigula,Rodent
1986,NL,M,33,177,Neotoma,albigula,Rodent
1986,NL,M,33,221,Neotoma,albigula,Rodent
1987,NL,M,32,253,Neotoma,albigula,Rodent
1987,NL,M,33,259,Neotoma,albigula,Rodent
1987,NL,M,34,260,Neotoma,albigula,Rodent
1987,NL,M,30,79,Neotoma,albigula,Rodent
1987,NL,F,28,72,Neotoma,albigula,Rodent
1987,NL,M,32,270,Neotoma,albigula,Rodent
1987,NL,F,30,99,Neotoma,albigula,Rodent
1987,NL,M,32,278,Neotoma,albigula,Rodent
1987,NL,F,30,136,Neotoma,albigula,Rodent
1987,NL,M,33,260,Neotoma,albigula,Rodent
1987,NL,M,NA,269,Neotoma,albigula,Rodent
1987,NL,F,32,146,Neotoma,albigula,Rodent
1987,NL,M,33,197,Neotoma,albigula,Rodent
1987,NL,F,32,167,Neotoma,albigula,Rodent
1987,NL,F,33,146,Neotoma,albigula,Rodent
1987,NL,M,34,203,Neotoma,albigula,Rodent
1987,NL,F,30,176,Neotoma,albigula,Rodent
1987,NL,M,34,214,Neotoma,albigula,Rodent
1988,NL,F,34,161,Neotoma,albigula,Rodent
1988,NL,F,34,148,Neotoma,albigula,Rodent
1988,NL,M,34,188,Neotoma,albigula,Rodent
1988,NL,M,31,132,Neotoma,albigula,Rodent
1988,NL,M,34,161,Neotoma,albigula,Rodent
1988,NL,M,35,170,Neotoma,albigula,Rodent
1988,NL,M,35,248,Neotoma,albigula,Rodent
1989,NL,M,33,242,Neotoma,albigula,Rodent
1989,NL,F,33,97,Neotoma,albigula,Rodent
1990,NL,M,33,218,Neotoma,albigula,Rodent
1990,NL,F,NA,176,Neotoma,albigula,Rodent
1990,NL,F,33,195,Neotoma,albigula,Rodent
1990,NL,F,33,193,Neotoma,albigula,Rodent
1991,NL,F,33,185,Neotoma,albigula,Rodent
1991,NL,F,33,174,Neotoma,albigula,Rodent
1991,NL,F,33,126,Neotoma,albigula,Rodent
1991,NL,F,31,81,Neotoma,albigula,Rodent
1991,NL,F,33,185,Neotoma,albigula,Rodent
1991,NL,M,33,154,Neotoma,albigula,Rodent
1991,NL,M,32,178,Neotoma,albigula,Rodent
1991,NL,M,31,180,Neotoma,albigula,Rodent
